name,stars,online order?,latitude ,longitude ,safety (numerically 1-10),reservations(Y/N),phone number,small images of the food,most popular dishes,review count,number of food items sold,hours open,price range ,delivery?,website links,Address,cusine ,chain,awards,dining style ,region of food,historical background,seating capacity,vegetarian options,average wait time (minutes),parking ,wifi,google maps link,apple maps link,public transport availability ,
Mister Jiu's,4.5,No,37.7941,-122.4064,9,Yes,(415) 857-9688,https://www.theinfatuation.com/san-francisco/reviews/mister-jius,"Liberty Farms Roast Duck, Sea Urchin Cheong Fun, BBQ Pork Buns",152,52,Tue-Sat: 5:00 PM – 10:00 PM,$75-120,No,"https://www.misterjius.com, https://www.exploretock.com/misterjius/","28 Waverly Pl, San Francisco, CA 94108",Contemporary Chinese (Cantonese),No,1 Michelin Star,Fine Dining,Cantonese-Californian,Fine dining spot opened in 2016 by Chef Brandon Jew; occupies historic Chinatown building from 1880s,100,Yes,35,Street,No,https://www.google.com/maps/place/Mister+Jiu's,https://maps.apple.com/?q=Mister+Jiu's,High (Accessible via MUNI lines),Stable
China Live,4.5,Yes,37.7985,-122.4075,9,Yes,(415) 788-8188,"https://chinalivesf.com/wp-content/uploads/2020/10/CL-Dish-1.jpg, https://chinalivesf.com/wp-content/uploads/2020/10/CL-Dish-2.jpg","Peking Duck, Sheng Jian Bao, Dumplings",1887,52,Mon-Thu:12:00 PM–9:00 PM; Fri:12:00 PM–9:30 PM; Sat:4:00 PM–9:30 PM; Sun:4:00 PM–9:00 PM,$50-75,Yes,"https://chinalivesf.com, https://chinalivesf.com/menu/","644 Broadway, San Francisco, CA 94133","Chinese, Asian, Sichuan",No,"Time Magazine's ""World's Greatest Places,"" Eater SF ""Restaurant of the Year""",Casual Dining,Various regions of China,"Opened in 2017 by Chef George Chen, 30,000 sqft culinary complex showcasing diverse Chinese cuisine",120,Yes,30,Street and nearby public garages,No,https://www.google.com/maps/place/China+Live,https://maps.apple.com/?q=China+Live,High (Accessible via MUNI lines),
Eight Tables by George Chen,4,No,37.7974,-122.4081,8,Yes,(415) 788-8788,https://eighttables.com/gallery/,"Peking Duck, Foie Gras Dumplings, Seasonal Tasting Menu",100,52,Tue–Sat: 5:30 PM – 9:00 PM,$75-120,No,https://eighttables.com/,"8 Kenneth Rexroth Pl, San Francisco, CA 94133","Chinese, Californian, Cantonese",No,"World's Best Restaurant Selection by La Liste; ""World's Greatest Places 2018"" by TIME Magazine",Fine Dining,Chinese (Si Fang Cai - Private Chateau Cuisine),Opened in 2017 by Chef George Chen; inspired by Qing dynasty's private chateau cuisine; part of the China Live complex,40,Accommodations available with advance notice,20,Street parking and nearby public garages,No,https://www.google.com/maps/place/Eight+Tables+by+George+Chen/,https://maps.apple.com/?q=Eight+Tables+by+George+Chen,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations required
R&G Lounge,4,Yes,37.7948,-122.4059,8,Yes,(415) 982-7877,https://www.rnglounge.com/gallery,"Salt & Pepper Crab, Peking Duck, Honey Walnut Prawns",1749,52,Mon–Thu: 11:00 AM–9:00 PM; Fri-Sat: 11:00 AM – 9:30 PM; Sun: 11:00 AM – 9:00 PM,$40-50,Yes,https://www.rnglounge.com,"631 Kearny St, San Francisco, CA 94108","Chinese, Seafood, Cantonese",No,NaN,Casual Dining,Cantonese,"Established 1985, famous for authentic Cantonese seafood and popular with locals and tourists.",200,Yes,20,Street & Validated Garage (Portsmouth Square Garage),No,https://www.google.com/maps/place/R%26G+Lounge,https://maps.apple.com/?q=R%26G+Lounge,Accessible via MUNI lines,Consistently Popular
Good Mong Kok Bakery,4.5,No,37.7963,-122.4078,8,No,(415) 397-2688,https://www.yelp.com/biz_photos/good-mong-kok-bakery-san-francisco,"Baked BBQ Pork Buns, Shrimp Dumplings (Har Gow), Pork Siu Mai","4,200",50,Mon–Sun: 7:00 AM – 6:00 PM,$3-8,No,https://www.goodmongkok.com,"1039 Stockton St, San Francisco, CA 94108","Cantonese, Bakery",No,NaN,Takeout Only,Cantonese,"Established in the heart of Chinatown, renowned for authentic dim sum offerings; cash-only establishment",200,Yes,15,Street parking available,No,https://www.google.com/maps/place/Good+Mong+Kok+Bakery/,https://maps.apple.com/?q=Good+Mong+Kok+Bakery,Accessible via MUNI lines; located in Chinatown,Consistently popular; lines common
Z & Y Restaurant,4,Yes,37.795,-122.406,8,Yes,(415) 981-8988,https://www.zandyrestaurant.com/gallery/,"Peking Roast Duck, Tea-Smoked Sliced Duck, Ma Po Tofu with Pork","1,200",150,"Mon, Wed–Sun: 11:30 AM – 3:00 PM, 4:30 PM – 9:00 PM; Tue: Closed",$25-35,Yes,https://www.zandyrestaurant.com/,"655 Jackson St, San Francisco, CA 94133","Chinese, Sichuan",No,"Michelin Bib Gourmand, Zagat-rated, S.F. Chronicle Top 100 Bay Area Restaurant",Casual Dining,Sichuan,"Established in 2008 by Chef Han, former executive chef at the Chinese Consulate-General in San Francisco; recognized for authentic Sichuan cuisine",100,"Yes, available upon request",10,Street parking and nearby public garages; 5-minute walk from Portsmouth Square Garage,No,https://www.google.com/maps/place/Z+%26+Y+Restaurant/,https://maps.apple.com/?q=Z+%26+Y+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
House of Nanking,4,Yes,37.7973,-122.4058,8,Yes,(415) 421-1429,https://www.houseofnankingsf.com/gallery/,"Nanking Sesame Chicken, Fried Onion Cakes, Garlic Fish","6,500",50,Mon–Fri: 11:00 AM – 9:00 PM; Sat–Sun: 12:00 PM – 9:00 PM,$15-20,Yes,https://www.houseofnankingsf.com/,"919 Kearny St, San Francisco, CA 94133","Chinese, Shanghainese",No,"Featured in Condé Nast Traveler, TIME Magazine",Casual Dining,Shanghainese,"Established in 1988 by Peter and Lily Fang; known for chef-selected dishes and long lines; now managed by their daughter, Chef Kathy Fang",50,"Yes, available upon request",10,Street parking and nearby public garages; limited availability,No,https://www.google.com/maps/place/House+of+Nanking/,https://maps.apple.com/?q=House+of+Nanking,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Sam Wo Restaurant,4,Yes,37.7945,-122.4058,8,No,(415) 989-8898,https://samworestaurant.com/gallery,"Jook (rice porridge), BBQ Pork Rice Noodle Roll, Salt & Pepper Chicken Wings",1000,52,Mon–Sun: 11:00 AM – 8:30 PM,$10-20,Yes,https://samworestaurant.com,"713 Clay St, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,"Established in 1907, famous for late-night Cantonese comfort food and iconic history in Chinatown",50,Yes,15,Street parking and nearby public garages,No,https://www.google.com/maps/place/Sam+Wo+Restaurant/,https://maps.apple.com/?q=Sam+Wo+Restaurant,Accessible via MUNI lines,"Popular, historic local favorite"
Four Kings,4.5,No,37.7946,-122.4048,8,Yes,(415) 688-1500,https://www.itsfourkings.com/gallery/,"Fried Squab, Mapo Spaghetti, Chili Crisp Pig Head",243,30,Thu–Sat: 6:00 PM – 11:00 PM; Sun–Mon: 6:00 PM – 10:30 PM; Closed Tue–Wed,$50-75,No,https://www.itsfourkings.com/,"710 Commercial St, San Francisco, CA 94108","Cantonese, Chinese",No,Michelin Guide Recommended; Esquire's Restaurant of the Year 2024,Casual Dining,Cantonese,Established in 2024 by chefs Franky Ho and Mike Long; inspired by 90's Hong Kong culture and cuisine,50,"Yes, available upon request",25,Street parking available,No,https://www.google.com/maps/place/Four+Kings/,https://maps.apple.com/?q=Four+Kings,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Chong Qing Xiao Mian,4,Yes,37.7964,-122.4054,8,No,(415) 983-0888,https://chongqingxiaomian-sf.com/gallery/,"Spicy Beef Noodle Soup, Dan Dan Noodles, Wonton with Spicy Chili Oil",1300,30,"Mon, Wed–Sun: 11:30 AM – 8:00 PM; Tue: Closed",$10-20,Yes,https://chongqingxiaomian-sf.com/,"915 Kearny St, San Francisco, CA 94133","Chinese, Sichuan",No,"Featured in The Infatuation's ""The Best Noodle Soups In SF""",Casual Dining,Sichuan,Known for authentic Sichuan noodle dishes; popular spot in Chinatown,30,"Yes, available upon request",25,Street parking available; nearby public garages,No,https://www.google.com/maps/place/Chong+Qing+Xiao+Mian/,https://maps.apple.com/?q=Chong+Qing+Xiao+Mian,Accessible via MUNI lines; located in Chinatown,Consistently popular; known for spicy noodle dishes
